Date,Total_Revenue,Total_Orders,Avg_Freight_Ratio,Daily_AOV,Sales_Lag_1,Sales_Lag_7,Rolling_Mean_7d,DayOfWeek,Is_Weekend,DayOfMonth,Month
2017-08-30,30938.16,178,0.3077980260681268,173.80988764044943,33756.48,15873.61,17701.230000000003,2,0,30,8
2017-08-31,20671.51,148,0.30136315164798594,139.67236486486485,30938.16,13361.11,19853.308571428573,3,0,31,8
2017-09-01,28473.13,158,0.3125628078079437,180.2096835443038,20671.51,15163.32,20897.65142857143,4,0,1,9
2017-09-02,18128.66,104,0.3234454893278367,174.31403846153847,28473.13,10141.69,22799.052857142855,5,1,2,9
2017-09-03,27795.41,125,0.24068890884864597,222.36328,18128.66,13367.88,23940.04857142857,6,1,3,9
2017-09-04,24937.98,148,0.2752301949531314,168.49986486486486,27795.41,22244.52,26001.124285714286,0,0,4,9
2017-09-05,20981.55,154,0.30194485884675026,136.24383116883115,24937.98,33756.48,26385.90428571429,1,0,5,9
2017-09-06,25624.61,140,0.28680370167838887,183.03292857142858,20981.55,30938.16,24560.914285714283,2,0,6,9
2017-09-07,16893.5,97,0.30071973646140077,174.159793814433,25624.61,20671.51,23801.835714285717,3,0,7,9
2017-09-08,11883.47,115,0.32792903053780625,103.33452173913042,16893.5,28473.13,23262.120000000003,4,0,8,9
2017-09-09,15082.53,106,0.35257771374978575,142.28801886792454,11883.47,18128.66,20892.168571428574,5,1,9,9
2017-09-10,17810.27,135,0.2605113909562034,131.92792592592593,15082.53,27795.41,20457.007142857146,6,1,10,9
2017-09-11,23376.78,178,0.28114446160767453,131.33022471910112,17810.27,24937.98,19030.558571428573,0,0,11,9
2017-09-12,27136.010000000002,204,0.2983405821471253,133.0196568627451,23376.78,20981.55,18807.53,1,0,12,9
2017-09-13,27593.28,205,0.3146193370208944,134.60136585365854,27136.010000000002,25624.61,19686.738571428574,2,0,13,9
2017-09-14,22557.76,166,0.30999163726630785,135.8901204819277,27593.28,16893.5,19967.977142857144,3,0,14,9
2017-09-15,18373.26,150,0.3602642185184557,122.48839999999998,22557.76,11883.47,20777.157142857144,4,0,15,9
2017-09-16,21147.37,129,0.2824186647679681,163.9331007751938,18373.26,15082.53,21704.27,5,1,16,9
2017-09-17,19979.420000000002,125,0.2736698524688006,159.83536,21147.37,17810.27,22570.675714285717,6,1,17,9
2017-09-18,28487.81,183,0.2730303441835189,155.67109289617488,19979.420000000002,23376.78,22880.554285714286,0,0,18,9
2017-09-19,20057.95,153,0.2865836368695031,131.09771241830066,28487.81,27136.010000000002,23610.701428571425,1,0,19,9
